member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,Winter Festival 15% (오후6시),포인트 사용,일반 상품,5,5,5,783025,156605.0
FAMILY,쿠폰 사용,Winter Festival 20% (오후6시),포인트 사용,일반 상품,4,4,4,771380,192845.0
FAMILY,쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 사용,일반 상품,19,19,22,768660,40455.78947368421
FAMILY,쿠폰 사용,Winter Festival 10% (오후6시),포인트 사용,일반 상품,5,5,5,755280,151056.0
FAMILY,쿠폰 사용,Winter Festival 15% (오전10시),포인트 사용,일반 상품,6,6,6,752800,125466.66666666667
FAMILY,쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20% / 등급할인10%,포인트 사용,일반 상품,1,1,5,742080,742080.0
FAMILY,쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 사용,일반 상품,10,10,16,726290,72629.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202605 생일축하쿠폰1만원,포인트 미사용,일반 상품,6,6,6,711810,118635.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202604 생일축하쿠폰1만원,포인트 사용,일반 상품,8,8,8,699600,87450.0
FAMILY,쿠폰 사용,등급할인10% / GNR 스페셜 20%,포인트 미사용,일반 상품,7,7,10,686160,98022.85714285714
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 비오는날 10% 스페셜 할인,포인트 사용,일반 상품,5,5,5,681590,136318.0
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 15% (오후6시),포인트 사용,일반 상품,3,3,3,671615,223871.66666666666
FAMILY,쿠폰 미사용,2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,9,9,10,669130,74347.77777777778
FAMILY,쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 미사용,일반 상품,2,2,2,658200,329100.0
FAMILY,쿠폰 미사용,202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,11,11,14,651900,59263.63636363636
FAMILY,쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,1,1,4,648990,648990.0
FAMILY,쿠폰 사용,26년 신상품 70만원이상 7만원할인 / 등급할인10% / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,2,638100,638100.0
FAMILY,쿠폰 사용,"GNR 스페셜 20% / 신규회원 스페셜 5,000",포인트 사용,일반 상품,4,4,8,635400,158850.0
FAMILY,쿠폰 미사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,5,5,9,630000,126000.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202605 생일축하쿠폰1만원,포인트 사용,일반 상품,9,9,9,613840,68204.44444444444
FAMILY,쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 사용,일반 상품,2,2,2,592140,296070.0
FAMILY,쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,1,1,5,590090,590090.0
FAMILY,쿠폰 사용,Winter Festival 10% (오후6시),포인트 미사용,일반 상품,3,3,3,580950,193650.0
FAMILY,쿠폰 미사용,F25 온라인 전용 10% 할인,포인트 사용,일반 상품,6,6,14,566460,94410.0
FAMILY,쿠폰 사용,GNR 스페셜 20% / 2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,4,4,7,566400,141600.0
FAMILY,쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,6,6,9,565900,94316.66666666667
FAMILY,쿠폰 사용,202602 생일축하쿠폰1만원 / 26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,2,2,5,559940,279970.0
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원 / 26년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,2,2,7,557730,278865.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 미사용,일반 상품,6,6,6,549450,91575.0
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,1,1,2,548980,548980.0
