order_date,member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue
2024-06-06,FAMILY,라운드티,여성,1,1,1,129860
2024-06-06,FAMILY,라운드티,라운드티,1,1,1,56670
2024-06-06,FAMILY,자켓/ 베스트,남성,1,1,1,37250
2024-06-06,FAMILY,자켓/ 베스트,햇,1,1,1,19500
2024-06-06,SILVER,트레일러닝,남성,1,1,1,37000
2024-06-07,FAMILY,긴바지,남성,1,1,2,195570
2024-06-07,FAMILY,긴바지,라운드티,2,2,3,114500
2024-06-07,FAMILY,긴바지,카고/조거,1,1,1,99240
2024-06-07,FAMILY,남성,남성,1,1,2,195570
2024-06-07,FAMILY,남성,라운드티,2,2,3,114500
2024-06-07,FAMILY,라운드티,긴바지,1,1,1,79200
2024-06-07,FAMILY,반바지,라운드티,1,1,2,85000
2024-06-07,FAMILY,셋업,라운드티,1,1,1,29500
2024-06-07,FAMILY,여성,라운드티,1,1,1,24500
2024-06-07,FAMILY,자켓/ 베스트,라운드티,1,1,1,24500
2024-06-07,FAMILY,하이킹,라운드티,1,1,1,17150
2024-06-07,SILVER,셋업,라운드티,1,1,1,38300
2024-06-07,SILVER,자켓/ 베스트,폴로티/집업,1,1,1,65810
2024-06-08,FAMILY,UNKNOWN,남성,1,1,1,69480
2024-06-08,FAMILY,긴바지,긴바지,1,1,1,88070
2024-06-08,FAMILY,남성,남성,4,4,7,250950
2024-06-08,FAMILY,남성,긴바지,2,2,2,237090
2024-06-08,FAMILY,남성,라운드티,1,1,3,205420
2024-06-08,FAMILY,남성,방수자켓,1,1,1,129000
2024-06-08,FAMILY,남성,셋업,1,1,1,110350
2024-06-08,FAMILY,등산화,남성,1,1,1,69480
2024-06-08,FAMILY,라운드티,방수자켓,1,1,1,129000
2024-06-08,FAMILY,라운드티,긴바지,1,1,1,119000
2024-06-08,FAMILY,라운드티,남성,1,1,1,49000
2024-06-08,FAMILY,바람막이,남성,1,1,1,60300
2024-06-08,FAMILY,셋업,방수자켓,1,1,1,129000
2024-06-08,FAMILY,셋업,긴바지,1,1,1,119000
2024-06-08,FAMILY,셋업,남성,2,2,2,88000
2024-06-08,FAMILY,자켓/ 베스트,라운드티,1,1,1,36320
2024-06-08,SILVER,긴바지,등산화,1,1,1,107970
2024-06-08,SILVER,긴바지,남성,1,1,1,107970
2024-06-08,SILVER,라운드티,등산화,1,1,1,107970
2024-06-08,SILVER,라운드티,남성,1,1,1,107970
2024-06-08,SILVER,라운드티,긴바지,1,1,1,87200
2024-06-09,FAMILY,긴바지,긴바지,2,2,2,132750
2024-06-09,FAMILY,남성,셋업,1,1,1,77000
2024-06-09,FAMILY,남성,남성,1,1,2,75340
2024-06-09,FAMILY,남성,반바지,1,1,2,49000
2024-06-09,FAMILY,남성,햇,1,1,1,22750
2024-06-09,FAMILY,라운드티,반바지,1,1,2,49000
2024-06-09,FAMILY,반바지,남성,1,1,1,6500
2024-06-09,FAMILY,자켓/ 베스트,남성,2,2,3,104840
2024-06-10,FAMILY,긴바지,긴바지,1,1,1,67850
2024-06-10,FAMILY,남성,남성,2,2,2,72200
2024-06-10,FAMILY,남성,맨투맨/후드티,1,1,1,54700
2024-06-10,FAMILY,남성,여성,1,1,1,34500
2024-06-10,FAMILY,라운드티,남성,2,2,2,169950
2024-06-10,FAMILY,라운드티,긴바지,1,1,1,169000
2024-06-10,FAMILY,라운드티,라운드티,1,1,1,57000
2024-06-10,FAMILY,바람막이,남성,1,1,1,79500
2024-06-10,FAMILY,반바지,남성,1,1,1,79500
2024-06-10,FAMILY,자켓/ 베스트,맨투맨/후드티,1,1,1,54700
2024-06-10,SILVER,상의,남성,1,1,3,83660
2024-06-10,SILVER,상의,반바지,1,1,1,75090
2024-06-11,FAMILY,긴바지,긴바지,1,1,1,113330
2024-06-11,FAMILY,긴바지,폴로티/집업,1,1,1,75230
2024-06-11,FAMILY,긴바지,반바지,1,1,1,46660
2024-06-11,FAMILY,남성,라운드티,3,3,5,211300
2024-06-11,FAMILY,남성,긴바지,1,1,1,113330
2024-06-11,FAMILY,남성,남성,3,3,3,103250
2024-06-11,FAMILY,남성,폴로티/집업,1,1,1,75230
2024-06-11,FAMILY,남성,반바지,1,1,1,46660
2024-06-11,FAMILY,여성,라운드티,1,1,2,69000
2024-06-11,FAMILY,캡,가방,1,1,1,60300
2024-06-12,FAMILY,긴바지,라운드티,2,2,2,94040
2024-06-12,FAMILY,남성,남성,3,3,3,179130
2024-06-12,FAMILY,남성,라운드티,2,2,2,82550
2024-06-12,FAMILY,남성,상의,1,1,1,69650
